title,company,description,skills,category,salary_min,salary_max,location,type
Lead Product Designer - Automations & Integrations,Close,"Leading design strategy for world-class automations and integrations experiences. Pioneer AI agent architecture by designing infrastructure and user experiences that enable autonomous AI SDRs and intelligent workflow orchestration. Create breakthrough agentic AI experiences that deliver autonomous systems with planning and complex workflow execution. Transform multi-step technical workflows into simple approachable experiences for all skill levels.","Figma,Design Systems,AI Product Design,Workflow Design,Systems Thinking,B2B SaaS,Automation Design,Technical Design",Emerging AI,140000,180000,Remote,Full-time
Product Manager AI Desktop App,M3 Software Solutions,"Build an AI app that proactively helps people as they work by spotting what's on their desktop and offering assistance first. Own product from 0 to 1 including problem discovery scoping and fast experiments. Work across user research design QA and marketing at this early stage startup. Work with experienced tech lead and collaborate with SaaS founders.","Product Management,AI Product Strategy,User Research,Rapid Prototyping,0-to-1 Product,Startup Experience,Cross-functional Collaboration",Emerging AI,75000,99000,Remote,Full-time
Senior Product Designer,MetaLab,"Design end-to-end product experiences for leading tech companies and startups. Create intuitive user interfaces that balance business goals with user needs. Work with cross-functional teams to ship high-quality design solutions. Contribute to design system and maintain consistency across products.","Figma,UI Design,UX Research,Prototyping,Design Systems,User Testing,Visual Design,Interaction Design",Traditional Transformed,90000,130000,Remote,Full-time
AI Research Scientist,OpenAI,"Conduct cutting-edge research in machine learning and artificial intelligence. Develop novel algorithms and architectures for large language models. Collaborate with engineering teams to implement research findings into production systems. Publish findings in top-tier conferences and contribute to open-source projects.","Python,PyTorch,TensorFlow,Machine Learning,Deep Learning,NLP,Research Methodology,Academic Writing",Emerging AI,180000,280000,San Francisco CA,Full-time
Machine Learning Engineer,Anthropic,"Build and scale production ML systems that power Claude AI assistant. Design and implement training pipelines for large language models. Optimize model performance and deployment infrastructure. Work on reinforcement learning from human feedback systems.","Python,PyTorch,Distributed Systems,ML Ops,RLHF,Model Training,Cloud Infrastructure,Kubernetes",Emerging AI,170000,250000,San Francisco CA,Full-time
Prompt Engineer,Scale AI,"Design and optimize prompts for large language models to improve task performance. Create evaluation frameworks for measuring prompt effectiveness. Collaborate with ML engineers to develop prompt engineering best practices. Build tools and interfaces for non-technical teams to leverage LLMs.","Python,LLM APIs,Prompt Design,Evaluation Metrics,API Integration,Technical Writing,Data Analysis",Emerging AI,120000,160000,Remote,Full-time
AI Product Manager,Microsoft,"Define product strategy for AI-powered features in Microsoft 365. Work with research teams to translate cutting-edge AI research into user-facing products. Conduct user research to understand customer needs for AI assistants. Drive roadmap planning and feature prioritization for AI capabilities.","Product Strategy,AI/ML Knowledge,User Research,Roadmap Planning,Stakeholder Management,Data Analysis,Agile Methodology",Emerging AI,150000,210000,Redmond WA,Full-time
LLM Engineer,Cohere,"Develop and fine-tune large language models for enterprise applications. Build evaluation pipelines to measure model quality and safety. Optimize model inference for production deployment. Work on model alignment and reducing hallucinations.","Python,PyTorch,Transformers,Model Fine-tuning,RLHF,MLOps,Distributed Computing,Linux",Emerging AI,160000,220000,Remote,Full-time
AI Ethics Specialist,Google DeepMind,"Assess potential risks and ethical implications of AI systems before deployment. Develop frameworks for responsible AI development and testing. Collaborate with policy teams on AI governance standards. Conduct red-teaming exercises to identify model vulnerabilities.","AI Ethics,Risk Assessment,Policy Development,Technical Writing,Machine Learning,Qualitative Research,Stakeholder Engagement",Emerging AI,130000,180000,London UK,Full-time
Generative AI Designer,Adobe,"Design AI-powered creative tools for Photoshop Illustrator and other Creative Cloud applications. Create intuitive interfaces for generative AI features. Conduct user research with creative professionals. Prototype and test new AI workflows for design and content creation.","Figma,Adobe Creative Suite,AI/ML Understanding,User Research,Prototyping,Interaction Design,Motion Design",Emerging AI,135000,185000,San Francisco CA,Full-time
